swanlab: Tracking run with swanlab version 0.5.5
swanlab: Run data will be saved locally in /home/moe_test/swanlog/run-20250409_214613-84cd768b
swanlab: 🌟 Run `swanlab watch /home/moe_test/swanlog` to view SwanLab Experiment Dashboard locally

--- Epoch 1/50 ---
Batch 1050/2797, Loss: 0.5000, Train Acc: 81.90%
Batch 1055/2797, Loss: 0.4991, Train Acc: 81.93%
Batch 1060/2797, Loss: 0.4988, Train Acc: 81.94%
Batch 1065/2797, Loss: 0.4983, Train Acc: 81.95%
Batch 1070/2797, Loss: 0.4979, Train Acc: 81.97%
Batch 1075/2797, Loss: 0.4977, Train Acc: 81.98%
Batch 1080/2797, Loss: 0.4972, Train Acc: 81.99%
Batch 1085/2797, Loss: 0.4967, Train Acc: 82.01%
Batch 1090/2797, Loss: 0.4964, Train Acc: 82.01%
Batch 1095/2797, Loss: 0.4961, Train Acc: 82.03%
Batch 1100/2797, Loss: 0.4956, Train Acc: 82.04%
Batch 1105/2797, Loss: 0.4952, Train Acc: 82.06%
Batch 1110/2797, Loss: 0.4946, Train Acc: 82.09%
Batch 1115/2797, Loss: 0.4942, Train Acc: 82.10%
Batch 1120/2797, Loss: 0.4936, Train Acc: 82.12%
Batch 1125/2797, Loss: 0.4929, Train Acc: 82.15%
Batch 1130/2797, Loss: 0.4926, Train Acc: 82.16%
Batch 1135/2797, Loss: 0.4923, Train Acc: 82.17%
Batch 1140/2797, Loss: 0.4920, Train Acc: 82.18%
Batch 1145/2797, Loss: 0.4915, Train Acc: 82.20%
Batch 1150/2797, Loss: 0.4909, Train Acc: 82.22%
Batch 1155/2797, Loss: 0.4905, Train Acc: 82.23%
Batch 1160/2797, Loss: 0.4902, Train Acc: 82.24%
Batch 1165/2797, Loss: 0.4897, Train Acc: 82.26%
Batch 1170/2797, Loss: 0.4892, Train Acc: 82.28%
Batch 1175/2797, Loss: 0.4887, Train Acc: 82.29%
Batch 1180/2797, Loss: 0.4885, Train Acc: 82.29%
Batch 1185/2797, Loss: 0.4885, Train Acc: 82.28%
Batch 1190/2797, Loss: 0.4884, Train Acc: 82.29%
Batch 1195/2797, Loss: 0.4881, Train Acc: 82.30%
Batch 1200/2797, Loss: 0.4877, Train Acc: 82.31%
Batch 1205/2797, Loss: 0.4877, Train Acc: 82.31%
Batch 1210/2797, Loss: 0.4873, Train Acc: 82.33%
Batch 1215/2797, Loss: 0.4870, Train Acc: 82.33%
Batch 1220/2797, Loss: 0.4868, Train Acc: 82.34%
Batch 1225/2797, Loss: 0.4863, Train Acc: 82.36%
Batch 1230/2797, Loss: 0.4857, Train Acc: 82.38%
Batch 1235/2797, Loss: 0.4854, Train Acc: 82.39%
Batch 1240/2797, Loss: 0.4853, Train Acc: 82.39%
Batch 1245/2797, Loss: 0.4849, Train Acc: 82.41%
Batch 1250/2797, Loss: 0.4844, Train Acc: 82.42%
Batch 1255/2797, Loss: 0.4840, Train Acc: 82.43%
Batch 1260/2797, Loss: 0.4838, Train Acc: 82.44%
Batch 1265/2797, Loss: 0.4835, Train Acc: 82.45%
Batch 1270/2797, Loss: 0.4832, Train Acc: 82.46%
Batch 1275/2797, Loss: 0.4830, Train Acc: 82.47%
Batch 1280/2797, Loss: 0.4826, Train Acc: 82.48%
Batch 1285/2797, Loss: 0.4823, Train Acc: 82.48%
Batch 1290/2797, Loss: 0.4820, Train Acc: 82.50%
Batch 1295/2797, Loss: 0.4818, Train Acc: 82.51%
Batch 1300/2797, Loss: 0.4815, Train Acc: 82.52%
Batch 1305/2797, Loss: 0.4812, Train Acc: 82.53%
Batch 1310/2797, Loss: 0.4808, Train Acc: 82.54%
Batch 1315/2797, Loss: 0.4803, Train Acc: 82.56%
Batch 1320/2797, Loss: 0.4801, Train Acc: 82.56%
Batch 1325/2797, Loss: 0.4799, Train Acc: 82.58%
Batch 1330/2797, Loss: 0.4796, Train Acc: 82.59%
Batch 1335/2797, Loss: 0.4794, Train Acc: 82.59%
Batch 1340/2797, Loss: 0.4791, Train Acc: 82.60%
Batch 1345/2797, Loss: 0.4787, Train Acc: 82.61%
Batch 1350/2797, Loss: 0.4784, Train Acc: 82.62%
Batch 1355/2797, Loss: 0.4782, Train Acc: 82.63%
Batch 1360/2797, Loss: 0.4777, Train Acc: 82.64%
Batch 1365/2797, Loss: 0.4773, Train Acc: 82.66%
Batch 1370/2797, Loss: 0.4769, Train Acc: 82.68%
Batch 1375/2797, Loss: 0.4766, Train Acc: 82.69%
Batch 1380/2797, Loss: 0.4764, Train Acc: 82.70%
Batch 1385/2797, Loss: 0.4761, Train Acc: 82.71%
Batch 1390/2797, Loss: 0.4757, Train Acc: 82.72%
Batch 1395/2797, Loss: 0.4754, Train Acc: 82.73%
Batch 1400/2797, Loss: 0.4754, Train Acc: 82.73%
Batch 1405/2797, Loss: 0.4751, Train Acc: 82.73%
Batch 1410/2797, Loss: 0.4747, Train Acc: 82.75%
Batch 1415/2797, Loss: 0.4745, Train Acc: 82.76%
Batch 1420/2797, Loss: 0.4741, Train Acc: 82.77%
Batch 1425/2797, Loss: 0.4739, Train Acc: 82.78%
Batch 1430/2797, Loss: 0.4735, Train Acc: 82.79%
Batch 1435/2797, Loss: 0.4733, Train Acc: 82.79%
Batch 1440/2797, Loss: 0.4730, Train Acc: 82.80%
Batch 1445/2797, Loss: 0.4729, Train Acc: 82.80%
Batch 1450/2797, Loss: 0.4727, Train Acc: 82.80%
Batch 1455/2797, Loss: 0.4726, Train Acc: 82.81%
Batch 1460/2797, Loss: 0.4723, Train Acc: 82.82%
Batch 1465/2797, Loss: 0.4719, Train Acc: 82.84%
Batch 1470/2797, Loss: 0.4714, Train Acc: 82.85%
